fips,region,naics,industry,time,bf_march_shift
05,Arkansas,00,Total for All NAICS,2009,2736.0
05,Arkansas,00,Total for All NAICS,2010,2528.0
05,Arkansas,00,Total for All NAICS,2011,2622.0
05,Arkansas,00,Total for All NAICS,2012,2513.0
05,Arkansas,00,Total for All NAICS,2013,2545.0
05,Arkansas,00,Total for All NAICS,2014,2503.0
05,Arkansas,00,Total for All NAICS,2015,2553.0
05,Arkansas,00,Total for All NAICS,2016,2711.0
05,Arkansas,00,Total for All NAICS,2017,2504.0
05,Arkansas,00,Total for All NAICS,2018,2753.0
05,Arkansas,00,Total for All NAICS,2019,2890.0
05,Arkansas,00,Total for All NAICS,2020,2763.0
05,Arkansas,00,Total for All NAICS,2021,3531.0
05,Arkansas,00,Total for All NAICS,2022,3982.0
05,Arkansas,00,Total for All NAICS,2023,
06,California,00,Total for All NAICS,2005,
06,California,00,Total for All NAICS,2006,64736.0
06,California,00,Total for All NAICS,2007,59011.0
06,California,00,Total for All NAICS,2008,52486.0
06,California,00,Total for All NAICS,2009,44357.0
06,California,00,Total for All NAICS,2010,40898.0
06,California,00,Total for All NAICS,2011,42763.0
06,California,00,Total for All NAICS,2012,43176.0
06,California,00,Total for All NAICS,2013,45100.0
06,California,00,Total for All NAICS,2014,49114.0
06,California,00,Total for All NAICS,2015,48580.0
06,California,00,Total for All NAICS,2016,49752.0
06,California,00,Total for All NAICS,2017,49169.0
06,California,00,Total for All NAICS,2018,51148.0
06,California,00,Total for All NAICS,2019,54655.0
06,California,00,Total for All NAICS,2020,52948.0
06,California,00,Total for All NAICS,2021,59395.0
06,California,00,Total for All NAICS,2022,65668.0
06,California,00,Total for All NAICS,2023,
08,Colorado,00,Total for All NAICS,2005,
08,Colorado,00,Total for All NAICS,2006,11221.0
08,Colorado,00,Total for All NAICS,2007,10544.0
08,Colorado,00,Total for All NAICS,2008,9739.0
08,Colorado,00,Total for All NAICS,2009,7868.0
08,Colorado,00,Total for All NAICS,2010,7904.0
08,Colorado,00,Total for All NAICS,2011,7458.0
08,Colorado,00,Total for All NAICS,2012,7227.0
08,Colorado,00,Total for All NAICS,2013,7599.0
08,Colorado,00,Total for All NAICS,2014,7896.0
08,Colorado,00,Total for All NAICS,2015,8670.0
08,Colorado,00,Total for All NAICS,2016,8491.0
08,Colorado,00,Total for All NAICS,2017,8535.0
08,Colorado,00,Total for All NAICS,2018,8778.0
08,Colorado,00,Total for All NAICS,2019,9095.0
08,Colorado,00,Total for All NAICS,2020,8491.0
08,Colorado,00,Total for All NAICS,2021,9263.0
08,Colorado,00,Total for All NAICS,2022,9977.0
08,Colorado,00,Total for All NAICS,2023,
09,Connecticut,00,Total for All NAICS,2005,
09,Connecticut,00,Total for All NAICS,2006,4241.0
09,Connecticut,00,Total for All NAICS,2007,3903.0
09,Connecticut,00,Total for All NAICS,2008,3489.0
09,Connecticut,00,Total for All NAICS,2009,2871.0
09,Connecticut,00,Total for All NAICS,2010,2844.0
09,Connecticut,00,Total for All NAICS,2011,2859.0
09,Connecticut,00,Total for All NAICS,2012,3012.0
09,Connecticut,00,Total for All NAICS,2013,2855.0
09,Connecticut,00,Total for All NAICS,2014,2832.0
09,Connecticut,00,Total for All NAICS,2015,2752.0
09,Connecticut,00,Total for All NAICS,2016,2812.0
09,Connecticut,00,Total for All NAICS,2017,2651.0
09,Connecticut,00,Total for All NAICS,2018,2802.0
09,Connecticut,00,Total for All NAICS,2019,2959.0
09,Connecticut,00,Total for All NAICS,2020,2838.0
09,Connecticut,00,Total for All NAICS,2021,3281.0
09,Connecticut,00,Total for All NAICS,2022,3786.0
09,Connecticut,00,Total for All NAICS,2023,
10,Delaware,00,Total for All NAICS,2005,
10,Delaware,00,Total for All NAICS,2006,1505.0
10,Delaware,00,Total for All NAICS,2007,1319.0
10,Delaware,00,Total for All NAICS,2008,
10,Delaware,00,Total for All NAICS,2009,
10,Delaware,00,Total for All NAICS,2010,
10,Delaware,00,Total for All NAICS,2011,1123.0
10,Delaware,00,Total for All NAICS,2012,
10,Delaware,00,Total for All NAICS,2013,
10,Delaware,00,Total for All NAICS,2014,
10,Delaware,00,Total for All NAICS,2015,1330.0
10,Delaware,00,Total for All NAICS,2016,1351.0
10,Delaware,00,Total for All NAICS,2017,1446.0
10,Delaware,00,Total for All NAICS,2018,1487.0
10,Delaware,00,Total for All NAICS,2019,1642.0
10,Delaware,00,Total for All NAICS,2020,1640.0
10,Delaware,00,Total for All NAICS,2021,2117.0
10,Delaware,00,Total for All NAICS,2022,2785.0
10,Delaware,00,Total for All NAICS,2023,
11,District of Columbia,00,Total for All NAICS,2005,
11,District of Columbia,00,Total for All NAICS,2006,
11,District of Columbia,00,Total for All NAICS,2007,
11,District of Columbia,00,Total for All NAICS,2008,
11,District of Columbia,00,Total for All NAICS,2009,
11,District of Columbia,00,Total for All NAICS,2010,
11,District of Columbia,00,Total for All NAICS,2011,
11,District of Columbia,00,Total for All NAICS,2012,
11,District of Columbia,00,Total for All NAICS,2013,
11,District of Columbia,00,Total for All NAICS,2014,
11,District of Columbia,00,Total for All NAICS,2015,
11,District of Columbia,00,Total for All NAICS,2016,
11,District of Columbia,00,Total for All NAICS,2017,
11,District of Columbia,00,Total for All NAICS,2018,
11,District of Columbia,00,Total for All NAICS,2019,865.0
11,District of Columbia,00,Total for All NAICS,2020,837.0
11,District of Columbia,00,Total for All NAICS,2021,924.0
11,District of Columbia,00,Total for All NAICS,2022,948.0
11,District of Columbia,00,Total for All NAICS,2023,
12,Florida,00,Total for All NAICS,2005,
12,Florida,00,Total for All NAICS,2006,43287.0
12,Florida,00,Total for All NAICS,2007,36613.0
12,Florida,00,Total for All NAICS,2008,31406.0
12,Florida,00,Total for All NAICS,2009,26610.0
12,Florida,00,Total for All NAICS,2010,27109.0
12,Florida,00,Total for All NAICS,2011,27695.0
12,Florida,00,Total for All NAICS,2012,27587.0
12,Florida,00,Total for All NAICS,2013,27838.0
12,Florida,00,Total for All NAICS,2014,29036.0
12,Florida,00,Total for All NAICS,2015,30671.0
12,Florida,00,Total for All NAICS,2016,30446.0
12,Florida,00,Total for All NAICS,2017,30780.0
12,Florida,00,Total for All NAICS,2018,31970.0
12,Florida,00,Total for All NAICS,2019,32771.0
12,Florida,00,Total for All NAICS,2020,31835.0
12,Florida,00,Total for All NAICS,2021,40129.0
12,Florida,00,Total for All NAICS,2022,45653.0
12,Florida,00,Total for All NAICS,2023,
13,Georgia,00,Total for All NAICS,2005,
13,Georgia,00,Total for All NAICS,2006,16081.0
13,Georgia,00,Total for All NAICS,2007,15287.0
13,Georgia,00,Total for All NAICS,2008,13085.0
13,Georgia,00,Total for All NAICS,2009,10612.0
13,Georgia,00,Total for All NAICS,2010,9980.0
13,Georgia,00,Total for All NAICS,2011,10098.0
13,Georgia,00,Total for All NAICS,2012,9775.0
13,Georgia,00,Total for All NAICS,2013,9839.0
13,Georgia,00,Total for All NAICS,2014,10134.0
13,Georgia,00,Total for All NAICS,2015,10683.0
13,Georgia,00,Total for All NAICS,2016,10637.0
13,Georgia,00,Total for All NAICS,2017,10696.0
13,Georgia,00,Total for All NAICS,2018,11260.0
13,Georgia,00,Total for All NAICS,2019,12209.0
13,Georgia,00,Total for All NAICS,2020,12284.0
13,Georgia,00,Total for All NAICS,2021,18506.0
13,Georgia,00,Total for All NAICS,2022,19356.0
13,Georgia,00,Total for All NAICS,2023,
15,Hawaii,00,Total for All NAICS,2005,
15,Hawaii,00,Total for All NAICS,2006,
15,Hawaii,00,Total for All NAICS,2007,
15,Hawaii,00,Total for All NAICS,2008,
15,Hawaii,00,Total for All NAICS,2009,
15,Hawaii,00,Total for All NAICS,2010,
15,Hawaii,00,Total for All NAICS,2011,1002.0
15,Hawaii,00,Total for All NAICS,2012,1004.0
15,Hawaii,00,Total for All NAICS,2013,
15,Hawaii,00,Total for All NAICS,2014,
15,Hawaii,00,Total for All NAICS,2015,
15,Hawaii,00,Total for All NAICS,2016,
15,Hawaii,00,Total for All NAICS,2017,
15,Hawaii,00,Total for All NAICS,2018,
15,Hawaii,00,Total for All NAICS,2019,1189.0
15,Hawaii,00,Total for All NAICS,2020,1087.0
15,Hawaii,00,Total for All NAICS,2021,1201.0
15,Hawaii,00,Total for All NAICS,2022,1391.0
15,Hawaii,00,Total for All NAICS,2023,
16,Idaho,00,Total for All NAICS,2005,
16,Idaho,00,Total for All NAICS,2006,4148.0
16,Idaho,00,Total for All NAICS,2007,3723.0
16,Idaho,00,Total for All NAICS,2008,2976.0
16,Idaho,00,Total for All NAICS,2009,2168.0
16,Idaho,00,Total for All NAICS,2010,1859.0
16,Idaho,00,Total for All NAICS,2011,1908.0
16,Idaho,00,Total for All NAICS,2012,1871.0
16,Idaho,00,Total for All NAICS,2013,1942.0
16,Idaho,00,Total for All NAICS,2014,2083.0
16,Idaho,00,Total for All NAICS,2015,2172.0
16,Idaho,00,Total for All NAICS,2016,2358.0
16,Idaho,00,Total for All NAICS,2017,2539.0
16,Idaho,00,Total for All NAICS,2018,2865.0
16,Idaho,00,Total for All NAICS,2019,3312.0
16,Idaho,00,Total for All NAICS,2020,3071.0
16,Idaho,00,Total for All NAICS,2021,3396.0
16,Idaho,00,Total for All NAICS,2022,3912.0
16,Idaho,00,Total for All NAICS,2023,
17,Illinois,00,Total for All NAICS,2005,
17,Illinois,00,Total for All NAICS,2006,18005.0
17,Illinois,00,Total for All NAICS,2007,16502.0
17,Illinois,00,Total for All NAICS,2008,15812.0
17,Illinois,00,Total for All NAICS,2009,13391.0
17,Illinois,00,Total for All NAICS,2010,13393.0
17,Illinois,00,Total for All NAICS,2011,13237.0
17,Illinois,00,Total for All NAICS,2012,13238.0
17,Illinois,00,Total for All NAICS,2013,13468.0
17,Illinois,00,Total for All NAICS,2014,13001.0
17,Illinois,00,Total for All NAICS,2015,13523.0
17,Illinois,00,Total for All NAICS,2016,12930.0
17,Illinois,00,Total for All NAICS,2017,12558.0
17,Illinois,00,Total for All NAICS,2018,12674.0
17,Illinois,00,Total for All NAICS,2019,13237.0
17,Illinois,00,Total for All NAICS,2020,12661.0
17,Illinois,00,Total for All NAICS,2021,17074.0
17,Illinois,00,Total for All NAICS,2022,17331.0
17,Illinois,00,Total for All NAICS,2023,
18,Indiana,00,Total for All NAICS,2005,
18,Indiana,00,Total for All NAICS,2006,7710.0
18,Indiana,00,Total for All NAICS,2007,7106.0
18,Indiana,00,Total for All NAICS,2008,6469.0
18,Indiana,00,Total for All NAICS,2009,4995.0
18,Indiana,00,Total for All NAICS,2010,4882.0
18,Indiana,00,Total for All NAICS,2011,4952.0
18,Indiana,00,Total for All NAICS,2012,4928.0
18,Indiana,00,Total for All NAICS,2013,4998.0
18,Indiana,00,Total for All NAICS,2014,4798.0
18,Indiana,00,Total for All NAICS,2015,4864.0
18,Indiana,00,Total for All NAICS,2016,4975.0
18,Indiana,00,Total for All NAICS,2017,4921.0
18,Indiana,00,Total for All NAICS,2018,5148.0
18,Indiana,00,Total for All NAICS,2019,5247.0
18,Indiana,00,Total for All NAICS,2020,5334.0
18,Indiana,00,Total for All NAICS,2021,6637.0
18,Indiana,00,Total for All NAICS,2022,7459.0
18,Indiana,00,Total for All NAICS,2023,
19,Iowa,00,Total for All NAICS,2005,
19,Iowa,00,Total for All NAICS,2006,3955.0
19,Iowa,00,Total for All NAICS,2007,3451.0
19,Iowa,00,Total for All NAICS,2008,
19,Iowa,00,Total for All NAICS,2009,2712.0
19,Iowa,00,Total for All NAICS,2010,2661.0
19,Iowa,00,Total for All NAICS,2011,2584.0
19,Iowa,00,Total for All NAICS,2012,2588.0
19,Iowa,00,Total for All NAICS,2013,2493.0
19,Iowa,00,Total for All NAICS,2014,2557.0
19,Iowa,00,Total for All NAICS,2015,2420.0
19,Iowa,00,Total for All NAICS,2016,2623.0
19,Iowa,00,Total for All NAICS,2017,2586.0
19,Iowa,00,Total for All NAICS,2018,2983.0
19,Iowa,00,Total for All NAICS,2019,2885.0
19,Iowa,00,Total for All NAICS,2020,2644.0
19,Iowa,00,Total for All NAICS,2021,2937.0
19,Iowa,00,Total for All NAICS,2022,3497.0
19,Iowa,00,Total for All NAICS,2023,
20,Kansas,00,Total for All NAICS,2005,
20,Kansas,00,Total for All NAICS,2006,4116.0
20,Kansas,00,Total for All NAICS,2007,3608.0
20,Kansas,00,Total for All NAICS,2008,3394.0
20,Kansas,00,Total for All NAICS,2009,2890.0
20,Kansas,00,Total for All NAICS,2010,
20,Kansas,00,Total for All NAICS,2011,2695.0
20,Kansas,00,Total for All NAICS,2012,2792.0
20,Kansas,00,Total for All NAICS,2013,2626.0
20,Kansas,00,Total for All NAICS,2014,2748.0
20,Kansas,00,Total for All NAICS,2015,2685.0
20,Kansas,00,Total for All NAICS,2016,2802.0
20,Kansas,00,Total for All NAICS,2017,2677.0
20,Kansas,00,Total for All NAICS,2018,2615.0
20,Kansas,00,Total for All NAICS,2019,2748.0
20,Kansas,00,Total for All NAICS,2020,2621.0
20,Kansas,00,Total for All NAICS,2021,2917.0
20,Kansas,00,Total for All NAICS,2022,3332.0
20,Kansas,00,Total for All NAICS,2023,
21,Kentucky,00,Total for All NAICS,2005,
21,Kentucky,00,Total for All NAICS,2006,4782.0
21,Kentucky,00,Total for All NAICS,2007,4285.0
21,Kentucky,00,Total for All NAICS,2008,3959.0
21,Kentucky,00,Total for All NAICS,2009,3232.0
21,Kentucky,00,Total for All NAICS,2010,3409.0
21,Kentucky,00,Total for All NAICS,2011,3347.0
21,Kentucky,00,Total for All NAICS,2012,3218.0
21,Kentucky,00,Total for All NAICS,2013,3415.0
21,Kentucky,00,Total for All NAICS,2014,3446.0
21,Kentucky,00,Total for All NAICS,2015,3055.0
21,Kentucky,00,Total for All NAICS,2016,3308.0
21,Kentucky,00,Total for All NAICS,2017,3118.0
21,Kentucky,00,Total for All NAICS,2018,3224.0
21,Kentucky,00,Total for All NAICS,2019,3389.0
21,Kentucky,00,Total for All NAICS,2020,3248.0
21,Kentucky,00,Total for All NAICS,2021,3741.0
21,Kentucky,00,Total for All NAICS,2022,4372.0
21,Kentucky,00,Total for All NAICS,2023,
22,Louisiana,00,Total for All NAICS,2005,
22,Louisiana,00,Total for All NAICS,2006,5514.0
22,Louisiana,00,Total for All NAICS,2007,5489.0
22,Louisiana,00,Total for All NAICS,2008,4734.0
22,Louisiana,00,Total for All NAICS,2009,4075.0
22,Louisiana,00,Total for All NAICS,2010,3751.0
22,Louisiana,00,Total for All NAICS,2011,3926.0
22,Louisiana,00,Total for All NAICS,2012,3930.0
22,Louisiana,00,Total for All NAICS,2013,3726.0
22,Louisiana,00,Total for All NAICS,2014,3679.0
22,Louisiana,00,Total for All NAICS,2015,3831.0
22,Louisiana,00,Total for All NAICS,2016,3677.0
22,Louisiana,00,Total for All NAICS,2017,3610.0
22,Louisiana,00,Total for All NAICS,2018,3781.0
22,Louisiana,00,Total for All NAICS,2019,3787.0
22,Louisiana,00,Total for All NAICS,2020,3411.0
22,Louisiana,00,Total for All NAICS,2021,5124.0
22,Louisiana,00,Total for All NAICS,2022,5205.0
22,Louisiana,00,Total for All NAICS,2023,
23,Maine,00,Total for All NAICS,2005,
23,Maine,00,Total for All NAICS,2006,
23,Maine,00,Total for All NAICS,2007,
23,Maine,00,Total for All NAICS,2008,
23,Maine,00,Total for All NAICS,2009,
23,Maine,00,Total for All NAICS,2010,
23,Maine,00,Total for All NAICS,2011,
23,Maine,00,Total for All NAICS,2012,
23,Maine,00,Total for All NAICS,2013,
23,Maine,00,Total for All NAICS,2014,
23,Maine,00,Total for All NAICS,2015,
23,Maine,00,Total for All NAICS,2016,
23,Maine,00,Total for All NAICS,2017,
23,Maine,00,Total for All NAICS,2018,
23,Maine,00,Total for All NAICS,2019,1715.0
23,Maine,00,Total for All NAICS,2020,1636.0
23,Maine,00,Total for All NAICS,2021,1767.0
23,Maine,00,Total for All NAICS,2022,2100.0
23,Maine,00,Total for All NAICS,2023,
24,Maryland,00,Total for All NAICS,2005,
24,Maryland,00,Total for All NAICS,2006,8075.0
24,Maryland,00,Total for All NAICS,2007,7211.0
24,Maryland,00,Total for All NAICS,2008,6285.0
24,Maryland,00,Total for All NAICS,2009,4904.0
24,Maryland,00,Total for All NAICS,2010,4896.0
24,Maryland,00,Total for All NAICS,2011,4903.0
24,Maryland,00,Total for All NAICS,2012,4869.0
24,Maryland,00,Total for All NAICS,2013,5098.0
24,Maryland,00,Total for All NAICS,2014,5211.0
24,Maryland,00,Total for All NAICS,2015,5212.0
24,Maryland,00,Total for All NAICS,2016,5184.0
24,Maryland,00,Total for All NAICS,2017,5057.0
24,Maryland,00,Total for All NAICS,2018,5285.0
24,Maryland,00,Total for All NAICS,2019,5457.0
24,Maryland,00,Total for All NAICS,2020,5342.0
24,Maryland,00,Total for All NAICS,2021,6815.0
24,Maryland,00,Total for All NAICS,2022,7252.0
24,Maryland,00,Total for All NAICS,2023,
25,Massachusetts,00,Total for All NAICS,2005,
25,Massachusetts,00,Total for All NAICS,2006,9080.0
25,Massachusetts,00,Total for All NAICS,2007,8075.0
25,Massachusetts,00,Total for All NAICS,2008,7257.0
25,Massachusetts,00,Total for All NAICS,2009,6287.0
25,Massachusetts,00,Total for All NAICS,2010,6419.0
25,Massachusetts,00,Total for All NAICS,2011,6443.0
25,Massachusetts,00,Total for All NAICS,2012,6496.0
25,Massachusetts,00,Total for All NAICS,2013,6826.0
25,Massachusetts,00,Total for All NAICS,2014,6749.0
25,Massachusetts,00,Total for All NAICS,2015,6857.0
25,Massachusetts,00,Total for All NAICS,2016,7448.0
25,Massachusetts,00,Total for All NAICS,2017,7179.0
25,Massachusetts,00,Total for All NAICS,2018,7516.0
25,Massachusetts,00,Total for All NAICS,2019,7845.0
25,Massachusetts,00,Total for All NAICS,2020,7319.0
25,Massachusetts,00,Total for All NAICS,2021,7992.0
25,Massachusetts,00,Total for All NAICS,2022,9118.0
25,Massachusetts,00,Total for All NAICS,2023,
26,Michigan,00,Total for All NAICS,2005,
26,Michigan,00,Total for All NAICS,2006,12109.0
26,Michigan,00,Total for All NAICS,2007,10979.0
26,Michigan,00,Total for All NAICS,2008,9536.0
26,Michigan,00,Total for All NAICS,2009,8178.0
26,Michigan,00,Total for All NAICS,2010,7830.0
26,Michigan,00,Total for All NAICS,2011,7886.0
26,Michigan,00,Total for All NAICS,2012,7793.0
26,Michigan,00,Total for All NAICS,2013,7698.0
26,Michigan,00,Total for All NAICS,2014,7727.0
26,Michigan,00,Total for All NAICS,2015,8045.0
26,Michigan,00,Total for All NAICS,2016,7645.0
26,Michigan,00,Total for All NAICS,2017,7649.0
26,Michigan,00,Total for All NAICS,2018,7981.0
26,Michigan,00,Total for All NAICS,2019,8187.0
26,Michigan,00,Total for All NAICS,2020,7797.0
26,Michigan,00,Total for All NAICS,2021,10307.0
26,Michigan,00,Total for All NAICS,2022,10431.0
26,Michigan,00,Total for All NAICS,2023,
27,Minnesota,00,Total for All NAICS,2005,
27,Minnesota,00,Total for All NAICS,2006,8576.0
27,Minnesota,00,Total for All NAICS,2007,7325.0
27,Minnesota,00,Total for All NAICS,2008,6489.0
27,Minnesota,00,Total for All NAICS,2009,5869.0
27,Minnesota,00,Total for All NAICS,2010,5275.0
27,Minnesota,00,Total for All NAICS,2011,5160.0
27,Minnesota,00,Total for All NAICS,2012,4977.0
27,Minnesota,00,Total for All NAICS,2013,5069.0
27,Minnesota,00,Total for All NAICS,2014,5216.0
27,Minnesota,00,Total for All NAICS,2015,5375.0
27,Minnesota,00,Total for All NAICS,2016,5357.0
27,Minnesota,00,Total for All NAICS,2017,5198.0
27,Minnesota,00,Total for All NAICS,2018,5400.0
27,Minnesota,00,Total for All NAICS,2019,5546.0
27,Minnesota,00,Total for All NAICS,2020,5457.0
27,Minnesota,00,Total for All NAICS,2021,6432.0
27,Minnesota,00,Total for All NAICS,2022,6988.0
27,Minnesota,00,Total for All NAICS,2023,
28,Mississippi,00,Total for All NAICS,2005,
28,Mississippi,00,Total for All NAICS,2006,3452.0
28,Mississippi,00,Total for All NAICS,2007,
28,Mississippi,00,Total for All NAICS,2008,2804.0
28,Mississippi,00,Total for All NAICS,2009,2209.0
28,Mississippi,00,Total for All NAICS,2010,2137.0
28,Mississippi,00,Total for All NAICS,2011,2152.0
28,Mississippi,00,Total for All NAICS,2012,2059.0
28,Mississippi,00,Total for All NAICS,2013,2127.0
28,Mississippi,00,Total for All NAICS,2014,
28,Mississippi,00,Total for All NAICS,2015,2182.0
28,Mississippi,00,Total for All NAICS,2016,2084.0
28,Mississippi,00,Total for All NAICS,2017,2075.0
28,Mississippi,00,Total for All NAICS,2018,2051.0
28,Mississippi,00,Total for All NAICS,2019,2151.0
28,Mississippi,00,Total for All NAICS,2020,2166.0
28,Mississippi,00,Total for All NAICS,2021,3339.0
28,Mississippi,00,Total for All NAICS,2022,3468.0
28,Mississippi,00,Total for All NAICS,2023,
29,Missouri,00,Total for All NAICS,2005,
29,Missouri,00,Total for All NAICS,2006,9388.0
29,Missouri,00,Total for All NAICS,2007,8525.0
29,Missouri,00,Total for All NAICS,2008,7044.0
29,Missouri,00,Total for All NAICS,2009,5951.0
29,Missouri,00,Total for All NAICS,2010,5859.0
29,Missouri,00,Total for All NAICS,2011,5903.0
29,Missouri,00,Total for All NAICS,2012,5889.0
29,Missouri,00,Total for All NAICS,2013,6379.0
29,Missouri,00,Total for All NAICS,2014,6356.0
29,Missouri,00,Total for All NAICS,2015,6726.0
29,Missouri,00,Total for All NAICS,2016,6514.0
29,Missouri,00,Total for All NAICS,2017,6390.0
29,Missouri,00,Total for All NAICS,2018,6048.0
29,Missouri,00,Total for All NAICS,2019,6376.0
29,Missouri,00,Total for All NAICS,2020,6150.0
29,Missouri,00,Total for All NAICS,2021,7413.0
29,Missouri,00,Total for All NAICS,2022,8149.0
29,Missouri,00,Total for All NAICS,2023,
30,Montana,00,Total for All NAICS,2005,
30,Montana,00,Total for All NAICS,2006,2678.0
30,Montana,00,Total for All NAICS,2007,2409.0
30,Montana,00,Total for All NAICS,2008,
30,Montana,00,Total for All NAICS,2009,
30,Montana,00,Total for All NAICS,2010,
30,Montana,00,Total for All NAICS,2011,
30,Montana,00,Total for All NAICS,2012,
30,Montana,00,Total for All NAICS,2013,
30,Montana,00,Total for All NAICS,2014,
30,Montana,00,Total for All NAICS,2015,
30,Montana,00,Total for All NAICS,2016,1679.0
30,Montana,00,Total for All NAICS,2017,1602.0
30,Montana,00,Total for All NAICS,2018,1687.0
30,Montana,00,Total for All NAICS,2019,1870.0
30,Montana,00,Total for All NAICS,2020,1695.0
30,Montana,00,Total for All NAICS,2021,1976.0
30,Montana,00,Total for All NAICS,2022,2360.0
30,Montana,00,Total for All NAICS,2023,
31,Nebraska,00,Total for All NAICS,2005,
31,Nebraska,00,Total for All NAICS,2006,2714.0
31,Nebraska,00,Total for All NAICS,2007,
31,Nebraska,00,Total for All NAICS,2008,
31,Nebraska,00,Total for All NAICS,2009,
31,Nebraska,00,Total for All NAICS,2010,
31,Nebraska,00,Total for All NAICS,2011,
31,Nebraska,00,Total for All NAICS,2012,
31,Nebraska,00,Total for All NAICS,2013,1975.0
31,Nebraska,00,Total for All NAICS,2014,1893.0
31,Nebraska,00,Total for All NAICS,2015,2075.0
31,Nebraska,00,Total for All NAICS,2016,2092.0
31,Nebraska,00,Total for All NAICS,2017,2086.0
31,Nebraska,00,Total for All NAICS,2018,2058.0
31,Nebraska,00,Total for All NAICS,2019,2175.0
31,Nebraska,00,Total for All NAICS,2020,2068.0
31,Nebraska,00,Total for All NAICS,2021,2191.0
31,Nebraska,00,Total for All NAICS,2022,2579.0
31,Nebraska,00,Total for All NAICS,2023,
32,Nevada,00,Total for All NAICS,2005,
32,Nevada,00,Total for All NAICS,2006,5843.0
32,Nevada,00,Total for All NAICS,2007,5115.0
32,Nevada,00,Total for All NAICS,2008,4565.0
32,Nevada,00,Total for All NAICS,2009,3727.0
32,Nevada,00,Total for All NAICS,2010,3493.0
32,Nevada,00,Total for All NAICS,2011,3792.0
32,Nevada,00,Total for All NAICS,2012,3628.0
32,Nevada,00,Total for All NAICS,2013,3885.0
32,Nevada,00,Total for All NAICS,2014,4050.0
32,Nevada,00,Total for All NAICS,2015,4038.0
32,Nevada,00,Total for All NAICS,2016,4008.0
32,Nevada,00,Total for All NAICS,2017,3779.0
32,Nevada,00,Total for All NAICS,2018,4137.0
32,Nevada,00,Total for All NAICS,2019,4305.0
32,Nevada,00,Total for All NAICS,2020,4001.0
32,Nevada,00,Total for All NAICS,2021,5264.0
32,Nevada,00,Total for All NAICS,2022,5901.0
32,Nevada,00,Total for All NAICS,2023,
33,New Hampshire,00,Total for All NAICS,2005,
33,New Hampshire,00,Total for All NAICS,2006,
